Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-07-16,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.17625,17.7625,28.36875,0,0,74.575,57,7,16,-1.805,0.45125,1,1,5.27275850387137
2016-07-17,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.2725,16.4725,27.4875,0,0,77.63125,68,7,17,-0.88125,-1.29,1,1,5.27275850387137
2016-07-18,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.69625,17.14,29.43,0,0,74.9375,80,7,18,1.9425,0.667500000000001,1,1,5.27275850387137
2016-07-19,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.3475,18.275,29.70875,0,0,75.60375,75,7,19,0.27875,1.135,1,1,5.27275850387137
2016-07-20,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.64625,17.86125,30.62125,0,0,71.005,54,7,20,0.912499999999999,-0.41375,1,1,5.27275850387137
2016-07-21,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.00375,18.13625,31.59875,0,0,65.1825,78,7,21,0.977500000000001,0.275,1,1,5.27275850387137
2016-07-22,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.05625,17.8025,30.16875,0,0,72.2575,69,7,22,-1.43,-0.333749999999999,1,1,5.27275850387137
2016-07-23,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.7175,17.5125,30.64875,0,0,71.19375,51,7,23,0.48,-0.290000000000001,1,1,5.27275850387137
2016-07-24,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.7225,18.32,30.8925,0,0,72.73125,60,7,24,0.243749999999999,0.807500000000001,1,1,5.27275850387137
2016-07-25,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.71125,19.0775,31.55875,0,0.125,70.0825,68,7,25,0.666250000000001,0.7575,1,1,5.27275850387137
2016-07-26,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.715,19.05875,31.64375,0,0.125,70.3,54,7,26,0.0849999999999986,-0.0187499999999994,1,1,5.27275850387137
2016-07-27,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.68,19.1725,31.4575,0,0,73.245,63,7,27,-0.186249999999999,0.11375,1,1,5.27275850387137
